,productID,productName,topRelevantAttributes,topAttributeDescriptions,attributeScores
0,1.0,Reach AB-110 Air Bike Exercise Fitness Cycle with Moving or Stationary Handle Adjustments for Home - 3 Options (Moving/Stationary Handles | Back Support Seat |Twister) (Back Support Seat),"['quality', 'service', 'install', 'supportive', 'good', 'cost', 'product', 'assemble', 'value', 'buy']","{'quality': ['good', 'nice', 'great', 'excellent', 'awesome', 'bad', 'product', 'useful', 'strong', 'free'], 'service': ['good', 'easy', 'nice', 'great', 'excellent', 'awesome', 'bad', 'prompt', 'product', 'strong'], 'install': ['good', 'easy', 'nice', 'bad', 'product', 'difficult', 'super', 'quality', 'work_perfectly', 'not_able'], 'supportive': ['day'], 'good': ['easy', 'nice', 'product', 'not_good', 'service', 'technician', 'overall', 'quality', 'experience', 'far'], 'cost': ['easy', 'worth', 'product', 'free', 'friendly', 'new', 'technician', 'worthy', 'reasonable', 'comfortable'], 'product': ['good', 'easy', 'nice', 'great', 'excellent', 'awesome', 'worth', 'bad', 'prompt', 'useful'], 'assemble': ['good', 'easy', 'nice', 'great', 'smooth', 'little', 'miss', 'difficult', 'not_easy', 'not_bad'], 'value': ['good', 'easy', 'nice', 'great', 'excellent', 'awesome', 'worth', 'product', 'strong', 'not_good'], 'buy': ['good', 'easy', 'nice', 'great', 'excellent', 'awesome', 'worth', 'bad', 'product', 'useful']}","{'quality': 0.7422222222222221, 'service': 0.43444444444444447, 'install': 0.22999999999999993, 'supportive': 0.0, 'good': 0.07222222222222222, 'cost': 0.8441023875114783, 'product': 0.8888888888888888, 'assemble': 0.6584722222222221, 'value': 0.9377777777777777, 'buy': 0.8888888888888888}"
0,2.0,Reach Spin-200 Spin Bike for Home gym | Indoor Exercise Cycle for Cardio and Weight loss,"['quality', 'depend', 'installation', 'service', 'good', 'price', 'product', 'assemble', 'support', 'buy']","{'quality': ['good', 'heavier', 'excellent', 'awesome', 'bad', 'decent', 'poor', 'product', 'not_good', 'super'], 'depend': ['ignore_deliberately', 'depend_more'], 'installation': ['good', 'excellent', 'awesome', 'bad', 'complete', 'poor', 'product', 'fast', 'not_good', 'complimentary'], 'service': ['good', 'courteous', 'excellent', 'awesome', 'bad', 'decent', 'poor', 'product', 'fast', 'comfortable'], 'good': ['good', 'product', 'not_good', 'service', 'installation', 'technician', 'overall', 'support', 'far', 'quality'], 'price': ['good', 'worth', 'decent', 'okay', 'product', 'installation', 'worthy', 'cheap', 'high', 'not_worth'], 'product': ['good', 'excellent', 'awesome', 'worth', 'bad', 'decent', 'okay', 'poor', 'fast', 'not_good'], 'assemble': ['good', 'excellent', 'worth', 'bad', 'fast', 'comfortable', 'difficult', 'pretty', 'friendly', 'worthy'], 'support': ['good', 'excellent', 'awesome', 'bad', 'poor', 'satisfied', 'installation', 'not_easy', 'available', 'superb'], 'buy': ['good', 'excellent', 'awesome', 'worth', 'bad', 'product', 'not_good', 'happy', 'comfortable', 'fit']}","{'quality': 0.05333333333333325, 'depend': 0.0, 'installation': 0.17666666666666658, 'service': 0.10222222222222213, 'good': 0.2799999999999999, 'price': 1.0491555555555556, 'product': 0.5422222222222222, 'assemble': 0.6641666666666667, 'support': 0.12666666666666657, 'buy': 0.6366666666666666}"
0,3.0,beatXP Vortex Energize 1M Air Bike Exercise Cycle for Home | Gym Cycle for Workout with Adjustable Cushioned Seat | Moving Handles | Full Body Workout Gym Fitness Cycle Machine With 6 Months Warranty (Black),"['quality', 'damage', 'help', 'install', 'quality_product', 'feel', 'product', 'assemble', 'purchase', 'value']","{'quality': ['good', 'excellent', 'poor', 'low', 'rigid', 'build'], 'damage': ['packaging'], 'help': ['urgent'], 'install': ['good', 'easy'], 'quality_product': ['good', 'poor', 'low', 'not_poor', 'customer_support'], 'feel': [], 'product': ['good', 'easy', 'awesome', 'nice', 'excellent', 'worst', 'useful', 'worth', 'perfect', 'not_much'], 'assemble': ['good', 'easy'], 'purchase': ['good', 'nice', 'satisfactory', 'not_poor'], 'value': ['good', 'excellent', 'real', 'penny', 'sleek']}","{'quality': 0.11999999999999988, 'damage': 0.0, 'help': 0.0, 'install': 0.3522222222222221, 'quality_product': 0.11999999999999988, 'feel': 0, 'product': 0.922222222222222, 'assemble': 0.3522222222222221, 'purchase': 0.2799999999999999, 'value': 0.41999999999999993}"
0,4.0,"Sparnod Fitness SAB-05 Air Bike Exercise Cycle for Home Gym - Dual Action for Full Body Workout (Setting for Moving/Stationary Handles) - Adjustable Resistance, Height Adjustable seat with Back Rest (Do It Yourself Installation)","['quality', 'beneficial', 'installation', 'help', 'fit', 'price', 'product', 'assemble', 'support', 'buy']","{'quality': ['easy', 'nice', 'great', 'worth', 'excellent', 'useful', 'product', 'bad', 'low', 'poor'], 'beneficial': [], 'installation': ['easy', 'great', 'excellent', 'useful', 'product', 'support', 'bad', 'complete', 'not_good', 'satisfied'], 'help': ['easy', 'nice', 'great', 'worth', 'quickly', 'far', 'assemble', 'customer_support', 'unable', 'support_team'], 'fit': ['easy', 'worth', 'support', 'not_good', 'overall', 'not_able', 'not_back', 'not_perfect', 'not_fit_properly', 'additional'], 'price': ['easy', 'nice', 'great', 'worth', 'product', 'low', 'honest', 'overall', 'reasonable', 'high'], 'product': ['beneficial', 'easy', 'nice', 'great', 'worth', 'excellent', 'awesome', 'useful', 'fine', 'product'], 'assemble': ['easy', 'nice', 'great', 'worth', 'excellent', 'useful', 'hard', 'fine', 'little', 'satisfied'], 'support': ['easy', 'nice', 'great', 'worth', 'excellent', 'awesome', 'useful', 'hard', 'product', 'support'], 'buy': ['easy', 'nice', 'great', 'worth', 'excellent', 'awesome', 'useful', 'product', 'happy', 'not_good']}","{'quality': 0.4488888888888889, 'beneficial': 0, 'installation': 0.3988888888888889, 'help': 0.4588888888888889, 'fit': 0.3422222222222222, 'price': 0.7558222222222223, 'product': 1.0505555555555555, 'assemble': 0.823125, 'support': 0.7085416666666666, 'buy': 0.8422222222222222}"
0,5.0,beatXP Typhoon AirTronic 4CM Air Bike Exercise Cycle for Home | Gym Cycle for Workout with Adjustable Cushioned Seat | Moving Handles & Back Support |Curve Frame & Tummy Twister With 6 Months Warranty (Black&Grey),"['quality', 'sit', 'pay', 'installation', 'service', 'good', 'price', 'product', 'assemble', 'return']","{'quality': ['good', 'poor', 'cheap', 'high'], 'sit': ['good', 'easy', 'normal'], 'pay': ['poor', 'ok', 'extra', 'installation'], 'installation': ['poor', 'difficult', 'not_easy', 'horrible', 'not_available', 'smooth', 'pay'], 'service': ['good', 'nice', 'bad', 'helpful', 'be_really'], 'good': ['product', 'product_quality', 'quality'], 'price': ['good'], 'product': ['good', 'easy', 'nice', 'amazing', 'bad', 'excellent', 'uncomfortable', 'worth', 'ok', 'horrible'], 'assemble': ['easy', 'bad', 'difficult', 'not_easy', 'assemble_well'], 'return': ['difficult', 'not_bother_even', 'promise']}","{'quality': 0.31359999999999993, 'sit': 0.4047222222222221, 'pay': 0.08999999999999997, 'installation': 0.03999999999999998, 'service': 0.046666666666666606, 'good': 0.0, 'price': 0.2799999999999999, 'product': 0.6988888888888888, 'assemble': -0.1611111111111111, 'return': 0.0}"
0,6.0,"PowerMax Fitness BU-200 Exercise Upright Bike with Anti-Skid Pedals, Adjustable Foot Strap and Vertical Seat Adjustment for Home Gym - White","['quality', 'instal', 'respect', 'good', 'price', 'space', 'product', 'assemble', 'expect', 'buy']","{'quality': ['good', 'nice', 'great', 'excellent', 'bad', 'amazing', 'light', 'not_good', 'product', 'fine'], 'instal': ['quick', 'easy', 'critical', 'it'], 'respect': ['amazon'], 'good': ['nice', 'useful', 'product', 'overall', 'quality', 'quiet', 'price', 'service', 'performance', 'product_quality'], 'price': ['good', 'great', 'worth', 'excellent', 'product', 'fine', 'low', 'happy', 'perfect', 'average'], 'space': ['good', 'easily', 'light', 'low', 'friendly', 'overall', 'little', 'perfect', 'satisfied', 'not_much'], 'product': ['good', 'easily', 'nice', 'great', 'worth', 'excellent', 'bad', 'amazing', 'not_good', 'useful'], 'assemble': ['good', 'nice', 'worth', 'excellent', 'useful', 'helpful', 'overall', 'perfect', 'not_easy', 'wonderful'], 'expect': ['good', 'great', 'bad', 'not_good', 'helpful', 'not_much', 'not_great', 'not_more', 'not_useful', 'easy'], 'buy': ['good', 'nice', 'great', 'worth', 'excellent', 'bad', 'amazing', 'product', 'happy', 'overall']}","{'quality': 0.635, 'instal': 0.23888888888888887, 'respect': 0.0, 'good': 0.3, 'price': 0.8683333333333334, 'space': 0.5659722222222221, 'product': 0.9488888888888889, 'assemble': 0.8499999999999999, 'expect': 0.31888888888888883, 'buy': 0.5766666666666667}"
0,7.0,Reach B-101 Upright Exercise Bike for Home Gym | Perfect Fitness Exercise Cycle for Cardio Workout & Weight loss,"['build_quality', 'price', 'product', 'experience', 'assemble', 'customer', 'sturdy_bike', 'value', 'customer_service', 'excercise']","{'build_quality': ['great'], 'price': ['good', 'low', 'cheap'], 'product': ['good', 'excellent', 'useful', 'nice'], 'experience': ['good'], 'assemble': ['easy', 'assemble_easily'], 'customer': ['good', 'excellent', 'insult'], 'sturdy_bike': ['good'], 'value': [], 'customer_service': ['good', 'excellent'], 'excercise': ['good']}","{'build_quality': 0.2, 'price': 0.3999999999999999, 'product': 0.5799999999999998, 'experience': 0.2799999999999999, 'assemble': 0.07222222222222222, 'customer': 0.2799999999999999, 'sturdy_bike': 0.2799999999999999, 'value': 0, 'customer_service': 0.2799999999999999, 'excercise': 0.2799999999999999}"
0,8.0,Reach Orbitrek/Orbitrack Exercise Cycle and Cross Trainer | Dual Trainer 2 in 1 Home Fitness Gym Equipment | Scientifically Designed for Complete Body Workout with Minimum Pressure on Knees.,"['quality', 'installation', 'service', 'look', 'good', 'reach', 'product', 'support', 'delivery', 'buy']","{'quality': ['good', 'excellent', 'worth', 'bad', 'product', 'not_good', 'difficult', 'fantastic', 'high', 'long'], 'installation': ['good', 'easy', 'nice', 'excellent', 'quick', 'free', 'do_well', 'support', 'difficult', 'professional'], 'service': ['good', 'nice', 'excellent', 'bad', 'quick', 'amazing', 'not_good', 'professional', 'high', 'poor'], 'look': ['good', 'nice', 'lose', 'efficient', 'cool', 'pretty', 'strong', 'far', 'impressive', 'look_far'], 'good': ['installation', 'product', 'not_good', 'quality', 'delivery', 'equipment', 'machine', 'product_use', 'product_performance', 'delivery_person'], 'reach': ['nice', 'product', 'happy', 'do_well', 'reach', 'time', 'provide', 'reach_well', 'orbitrek', 'polite'], 'product': ['good', 'easy', 'nice', 'excellent', 'worth', 'installation', 'bad', 'quick', 'amazing', 'free'], 'support': ['good', 'excellent', 'tech', 'technician', 'person', 'costumer', 'need_however', 'nil', 'read', 'whatsapp'], 'delivery': ['good', 'excellent', 'quick', 'time', 'unfortunately', 'usual'], 'buy': ['good', 'nice', 'not_bad', 'worth', 'product', 'satisfied', 'not_worth', 'overall', 'not_intelligent', 'not_locate_just']}","{'quality': 0.40026666666666666, 'installation': 0.6888888888888887, 'service': 0.27693333333333325, 'look': 0.5180555555555555, 'good': 0.0, 'reach': 0.0, 'product': 0.6955555555555554, 'support': 0.2799999999999999, 'delivery': 0.25916666666666655, 'buy': 0.5499999999999999}"
0,9.0,"Lifelong LLF45 Fit Pro Spin Fitness Bike with 6Kg Flywheel, Adjustable Resistance, LCD Monitor and Heart Rate Sensor for Fitness at Home; Home Workouts (1 Year Warranty)","['quality', 'build', 'installation', 'service', 'look', 'good', 'seat', 'appreciate', 'product', 'assemble']","{'quality': ['good', 'easy', 'great', 'bad', 'solid', 'poor', 'not_good', 'hard', 'low', 'product'], 'build': ['good', 'easy', 'nice', 'not_good', 'low', 'not_comfortable', 'uncomfortable', 'adequate', 'classy', 'quality'], 'installation': ['easy', 'useful', 'avoid', 'tricky', 'not_difficult', 'basic'], 'service': ['good', 'great', 'bad', 'poor', 'lifelong', 'appreciate', 'pathetic'], 'look': ['good', 'nice', 'worth', 'satisfied', 'overall', 'classy', 'sturdy', 'amazon', 'cool', 'stylish'], 'good': ['not_good', 'product', 'fit', 'overall', 'quality', 'product_quality', 'build_quality', 'build', 'ergonomic', 'rest'], 'seat': ['good', 'great', 'bad', 'little', 'hard', 'superb', 'not_comfortable', 'fit', 'uncomfortable', 'useless'], 'appreciate': [], 'product': ['good', 'easy', 'nice', 'great', 'bad', 'amazing', 'solid', 'poor', 'not_good', 'little'], 'assemble': ['good', 'easy', 'miss', 'extremely', 'smooth', 'sturdy', 'able', 'assemble_well', 'speak_well', 'basic']}","{'quality': 0.025208333333333277, 'build': 0.5844444444444443, 'installation': 0.37222222222222223, 'service': 0.04666666666666658, 'look': 0.6824999999999999, 'good': 0.24, 'seat': -0.14076388888888902, 'appreciate': 0, 'product': 0.12513888888888886, 'assemble': 0.7397222222222222}"
0,10.0,"SPARNOD FITNESS SUB-49 Upright Exercise Bike for home gym - LCD Display, Height Adjustable Seat, Compact design and 4 Kg Flywheel - Perfect Cardio Exercise Cycle Machine for Small Spaces - Black","['quality', 'help', 'install', 'seat', 'price', 'good', 'product', 'experience', 'assemble', 'value']","{'quality': ['good', 'poor', 'bad', 'product', 'cheap', 'sturdy', 'not_fit', 'be_also'], 'help': ['supportive', 'sweat_perfectly', 'sure', 'not_help_also', 'not_help_sure', 'sweat', 'not_less', 'not_proper', 'not_intense', 'provide'], 'install': ['good', 'easily', 'nice', 'amazing', 'assemble_easily', 'not_easy', 'install_easily'], 'seat': ['small', 'comfortable', 'not_comfortable', 'wise', 'uncomfortable', 'install'], 'price': ['good', 'comfortable', 'worth', 'cool', 'reasonable'], 'good': ['product', 'far', 'size', 'product_quality', 'experience', 'quality'], 'product': ['good', 'light', 'nice', 'comfortable', 'excellent', 'useful', 'worth', 'not_comfortable', 'overall', 'superb'], 'experience': ['good', 'bad', 'overall'], 'assemble': ['good', 'nice', 'assemble_quickly', 'assemble_easily', 'wonderful', 'sturdy', 'fun', 'able'], 'value': ['good', 'nice', 'comfortable', 'excellent', 'overall', 'product', 'product_wise']}","{'quality': 0.006666666666666599, 'help': 0.05555555555555558, 'install': 0.4122222222222221, 'seat': -2.7755575615628914e-17, 'price': 0.8324999999999998, 'good': 0.0, 'product': 1.0499999999999998, 'experience': 0.046666666666666606, 'assemble': 0.7074999999999999, 'value': 0.3599999999999999}"
0,11.0,"PowerMax Fitness BU-201 Dual Action Air Bike/Exercise Bike with Back Support System for Home Workout, black","['quality', 'installation', 'cost', 'service', 'good', 'product', 'assemble', 'support', 'value', 'buy']","{'quality': ['good', 'nice', 'excellent', 'bad', 'product', 'not_good', 'ok', 'poor', 'overall', 'extremely'], 'installation': ['good', 'easy', 'product', 'free', 'complete', 'difficult', 'quick', 'not_easy', 'want', 'problem'], 'cost': ['good', 'worth', 'worthy', 'kind', 'save', 'optimal', 'technician', 'not_low', 'cycle'], 'service': ['good', 'easy', 'nice', 'excellent', 'awesome', 'bad', 'product', 'not_good', 'poor', 'satisfied'], 'good': ['easy', 'product', 'overall', 'service', 'quality', 'product_quality', 'experience', 'customer_support', 'wise', 'build_quality'], 'product': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'worth', 'awesome', 'strong', 'bad', 'not_good'], 'assemble': ['good', 'easy', 'nice', 'worth', 'strong', 'free', 'fairly', 'difficult', 'work_well', 'quick'], 'support': ['good', 'easy', 'nice', 'excellent', 'strong', 'bad', 'product', 'poor', 'fit', 'overall'], 'value': ['good', 'easy', 'nice', 'excellent', 'worth', 'strong', 'product', 'overall', 'friendly', 'delicate'], 'buy': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'worth', 'bad', 'product', 'happy', 'satisfied']}","{'quality': 0.1366666666666666, 'installation': 0.6588888888888887, 'cost': 0.6099999999999999, 'service': -0.04111111111111124, 'good': 0.1422222222222222, 'product': 0.5044444444444444, 'assemble': 1.0544444444444443, 'support': 0.3144444444444443, 'value': 0.8952777777777776, 'buy': 0.38888888888888884}"
0,12.0,"PowerMax Fitness BS-130 Steel Exercise Spin Bike With 6 Kg Flywheel, LCD Display & Bottle Holder, Black","['quality', 'exercise_bike', 'instal', 'help', 'look', 'seat', 'fit', 'product', 'experience', 'assemble']","{'quality': ['useful', 'build'], 'exercise_bike': ['great'], 'instal': ['hard'], 'help': ['not_have_so'], 'look': ['fit_later', 'compact', 'look_far'], 'seat': ['not_comfortable', 'hard', 'uncomfortable', 'need', 'adjustable'], 'fit': ['fit_later', 'compact'], 'product': ['easy', 'nice', 'useful', 'not_good', 'excellent', 'bad', 'hard', 'awesome', 'great', 'ok'], 'experience': [], 'assemble': ['easy', 'explain_well', 'free']}","{'quality': 0.3, 'exercise_bike': 0.2, 'instal': -0.13368055555555558, 'help': 0.0, 'look': 0.0, 'seat': -0.13368055555555558, 'fit': 0.0, 'product': 0.4552083333333333, 'experience': 0, 'assemble': 0.1522222222222222}"
0,13.0,"Reach Digital Pedal Exercise Machine Mini Fitness Cycle with Fixing Strap, Adjustable Resistance and LCD Display - Fits Under Desk and suitable for Light Exercise of Legs & Arms, and Physiotherapy at Home","['quality', 'service', 'install', 'gets', 'fit', 'product', 'assemble', 'grip', 'recommend', 'buy']","{'quality': ['good', 'nice', 'great', 'worth', 'happy', 'poor', 'strong', 'not_good', 'high', 'superb'], 'service': ['good', 'poor', 'not_good'], 'install': ['easy', 'friendly', 'product', 'super', 'portable'], 'gets': ['ride_fast'], 'fit': ['small', 'fit_well', 'highly', 'need', 'fit_nicely', 'stay', 'fit_in', 'buy_so'], 'product': ['good', 'easy', 'nice', 'great', 'excellent', 'amazing', 'worth', 'recommend', 'bad', 'satisfied'], 'assemble': ['good', 'easy', 'worth', 'able', 'smooth', 'assemble_easy', 'pretty', 'portable'], 'grip': ['easy'], 'recommend': ['good', 'easy', 'worth', 'satisfied', 'product', 'recommend_strongly', 'be_easily', 'not_poor', 'thank_regardless', 'recommend_genuinely'], 'buy': ['good', 'easy', 'excellent', 'worth', 'small', 'recommend', 'product', 'recommend_strongly', 'far', 'overall']}","{'quality': 0.7791555555555555, 'service': 0.11999999999999988, 'install': 0.3708333333333333, 'gets': 0.0, 'fit': -0.07639999999999998, 'product': 0.648888888888889, 'assemble': 1.0097222222222222, 'grip': 0.07222222222222222, 'recommend': 0.6222222222222221, 'buy': 0.4722222222222221}"
0,14.0,beatXP Vortex Plus 4M Air Bike Exercise Cycle for Home |Gym Cycle for Workout With Adjustable Cushioned Seat |Moving Handles | Back Support & Tummy Twister With 6 Months Warranty (Black),"['quality', 'installation', 'nice', 'service', 'cost', 'product', 'safe', 'assemble', 'design', 'buy']","{'quality': ['nice', 'accurate', 'pretty', 'good'], 'installation': ['free'], 'nice': ['product', 'overall', 'product_quality'], 'service': ['bad', 'product', 'pathetic', 'not_pathetic', 'not_very', 'fantastic', 'superb', 'not_satisfactory', 'not_bad', 'amazon'], 'cost': ['easy', 'friendly', 'fit', 'worthy'], 'product': ['easy', 'nice', 'bad', 'excellent', 'useful', 'assemble_easily', 'miss', 'service', 'worth', 'far'], 'safe': [], 'assemble': ['easy', 'nice', 'assemble_easily', 'inconvenient', 'not_other', 'able', 'not_easy', 'not_wise', 'impossible'], 'design': ['easy', 'trendy', 'good'], 'buy': ['large', 'worth', 'product', 'happy', 'not_pathetic', 'not_worth', 'not_miss', 'not_bad', 'good', 'not_happy']}","{'quality': 0.4266666666666666, 'installation': 0.07999999999999999, 'nice': 0.0, 'service': -0.1933333333333333, 'cost': 0.4997222222222222, 'product': 0.4088888888888889, 'safe': 0, 'assemble': 0.2597222222222222, 'design': 0.4122222222222221, 'buy': 0.6724489795918367}"
0,15.0,"Lifelong LLF135 FitPro Stationary Exercise Belt Bike for Weight Loss at Home with Display and Resistance Control, White (Free Installation Assistance)","['install', 'fit', 'price', 'product', 'assemble', 'place', 'value', 'expect', 'qualities', 'buy']","{'install': ['easy', 'difficult'], 'fit': ['easy', 'lifelong', 'pro'], 'price': ['good', 'cheap', 'friendly', 'reasonable'], 'product': ['good', 'easy', 'nice', 'excellent', 'bad', 'worth', 'amazing', 'useful', 'not_bad', 'want'], 'assemble': ['easy', 'simple'], 'place': ['small'], 'value': ['good', 'appear', 'stable', 'overall', 'andalso', 'defenetly'], 'expect': ['good', 'heavy', 'not_expect_well', 'not_nice'], 'qualities': [], 'buy': ['good', 'nice', 'worth', 'satisfied', 'not_bad', 'product']}","{'install': 0.07222222222222222, 'fit': 0.03222222222222221, 'price': 0.6675, 'product': 0.7488888888888888, 'assemble': 0.07222222222222222, 'place': -0.15, 'value': 0.2799999999999999, 'expect': 0.1799999999999999, 'qualities': 0, 'buy': 0.5499999999999999}"
0,16.0,"PowerMax Fitness BU-201 Dual Action Air Bike/Exercise Bike with Back Support System for Home Workout, black","['quality', 'installation', 'service', 'good', 'price', 'fit', 'product', 'assemble', 'support', 'buy']","{'quality': ['good', 'easy', 'nice', 'excellent', 'amazing', 'bad', 'product', 'strong', 'small', 'not_good'], 'installation': ['good', 'easy', 'nice', 'product', 'free', 'complete', 'difficult', 'not_easy', 'quick', 'problem'], 'service': ['good', 'easy', 'nice', 'excellent', 'amazing', 'bad', 'product', 'not_good', 'poor', 'satisfied'], 'good': ['easy', 'product', 'service', 'overall', 'quality', 'product_quality', 'experience', 'delivery', 'wise', 'build_quality'], 'price': ['good', 'easy', 'nice', 'amazing', 'worth', 'product', 'happy', 'assemble', 'cheap', 'high'], 'fit': ['easy', 'not_good', 'support', 'left', 'unable', 'try', 'priceperfect', 'not_fit_properly', 'not_even', 'not_fit_exactly'], 'product': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'amazing', 'worth', 'bad', 'product', 'strong'], 'assemble': ['good', 'easy', 'nice', 'worth', 'strong', 'free', 'miss', 'fairly', 'difficult', 'not_easy'], 'support': ['good', 'easy', 'nice', 'excellent', 'bad', 'product', 'strong', 'poor', 'fit', 'overall'], 'buy': ['good', 'easy', 'nice', 'not_bad', 'excellent', 'worth', 'bad', 'product', 'happy', 'satisfied']}","{'quality': 0.14444444444444435, 'installation': 0.6588888888888887, 'service': 0.01888888888888876, 'good': 0.1422222222222222, 'price': 0.8758222222222221, 'fit': -0.17777777777777778, 'product': 0.5644444444444443, 'assemble': 0.8877777777777776, 'support': 0.3144444444444443, 'buy': 0.38888888888888884}"
0,17.0,"Klikfit KF01F Indoor Stationary Air Bike Exercise Cycle for Home Gym Cardio Full Body Weight Loss Workout - Free Installation Support , Black Silver","['quality', 'want', 'installation', 'service', 'feel', 'price', 'product', 'assemble', 'support', 'buy']","{'quality': ['poor', 'cheap', 'perfect'], 'want': ['movable', 'not_answer_also'], 'installation': ['not_easy', 'free'], 'service': ['extraordinary', 'dissatisfied'], 'feel': ['happy'], 'price': ['cheap', 'reasonable'], 'product': ['easy', 'nice', 'amazing', 'excellent', 'not_bad', 'not_good', 'faulty', 'average', 'horrible', 'product'], 'assemble': ['easy', 'accord_easily'], 'support': ['amazing', 'not_back', 'not_instal', 'not_possible'], 'buy': ['amazing', 'perfect', 'product', 'waste']}","{'quality': -0.04000000000000001, 'want': 0.0, 'installation': 0.07999999999999999, 'service': 0.0, 'feel': 0.0, 'price': 0.20000000000000004, 'product': 0.0422222222222222, 'assemble': 0.07222222222222222, 'support': 0.06, 'buy': -0.14}"
0,18.0,"Lifelong LLEB104 AirBike with Moving Handle and Back Support, Max User Weight 100kg, Fitness Bike for Workout at Home (Free Home Installlation, 6 Months Warranty, Black)","['quality', 'damage', 'fitness', 'service', 'install', 'seat', 'feel', 'product', 'purchase', 'support']","{'quality': ['good', 'great', 'slightly', 'improve'], 'damage': ['small', 'bcz'], 'fitness': ['good', 'product', 'afforable', 'concerned'], 'service': ['good', 'great'], 'install': ['easy', 'love_just', 'install_well', 'service'], 'seat': ['hurt_just', 'dislike', 'painful'], 'feel': ['bad'], 'product': ['good', 'love_just', 'fine', 'fitness', 'receive_then', 'amazing'], 'purchase': ['bad'], 'support': ['lifelong', 'fast', 'poor', 'receive_then']}","{'quality': 0.34111111111111103, 'damage': -0.15, 'fitness': 0.2799999999999999, 'service': 0.4799999999999999, 'install': 0.07222222222222222, 'seat': -0.06999999999999998, 'feel': -0.2333333333333333, 'product': 0.5483333333333333, 'purchase': -0.2333333333333333, 'support': -0.12000000000000002}"
